ProjectName,ProjectDescription,SubCounty,Ward,Latitude,Longitude,Department,Status,StartDate,ExpectedCompletionDate,Budget,Expenditure,SourceOfFunds
"Construction of New Borehole","Drilling and equipping of a new borehole with solar pump and water kiosk in Bura East","Bura East","Bura East",-0.7500,40.1667,"Water Environment Climate change & Natural Resources",Ongoing,2024-05-10,2025-02-28,5500000,1200000,"Garissa County Government"
"Supply of ECDE Furniture","Provision of desks chairs and learning materials to 5 ECDE centers in Dadaab","Dadaab","Dadaab",0.3833,40.0667,"Education ICT & Libraries",Completed,2024-01-15,2024-04-30,2300000,2300000,"World Bank"
"Youth Empowerment Training","Training program on entrepreneurship and digital skills for 100 youths in Garissa Township","Garissa Township","Township",-0.4569,39.6463,"Culture Gender PWDs Social Services Youth & Sports",Stalled,2023-11-01,2024-03-31,1500000,750000,"Garissa County Government"
"Road Construction - Masalani Road","Construction of 15km tarmac road from Masalani to Hulugho","Ijara","Masalani",-1.3000,40.3833,"Roads Transport Housing & Public Works",Ongoing,2024-03-01,2025-06-30,45000000,18000000,"Kenya Roads Board"
"Health Center Construction","Construction of new health center in Lagdera sub-county","Lagdera","Lagdera",-0.4167,39.7500,"Health and Sanitation",Planning,2024-07-01,2025-12-31,25000000,0,"Ministry of Health"
"Agricultural Training Center","Establishment of modern agricultural training center in Fafi","Fafi","Fafi",-0.7500,40.0833,"Agriculture Livestock & Pastoral Economy",Ongoing,2024-02-15,2024-11-30,12000000,4800000,"Garissa County Government"
"Market Construction - Balambala","Construction of modern market facility in Balambala town","Balambala","Balambala",-0.5833,39.9167,"Trade Investment & Enterprise Development",Completed,2023-08-01,2024-01-31,8500000,8500000,"County Development Fund"
"Water Pipeline Extension","Extension of water pipeline to serve 500 households in Sankuri","Sankuri","Sankuri",-0.5000,39.8333,"Water Environment Climate change & Natural Resources",Ongoing,2024-04-01,2024-12-31,18000000,7200000,"African Development Bank"
"School Infrastructure Upgrade","Renovation and expansion of primary schools in Hulugho","Hulugho","Hulugho",-1.1667,40.2500,"Education ICT & Libraries",Ongoing,2024-01-10,2024-10-31,9500000,3800000,"Global Partnership for Education"
"Livestock Vaccination Program","Comprehensive livestock vaccination program across all sub-counties","Garissa Township","Iftin",-0.4569,39.6463,"Agriculture Livestock & Pastoral Economy",Completed,2023-12-01,2024-02-29,3200000,3200000,"Ministry of Agriculture"
"ICT Training Center","Establishment of ICT training center for youth in Dadaab","Dadaab","Liboi",0.3833,40.0667,"Education ICT & Libraries",Planning,2024-08-01,2025-03-31,7500000,0,"UNDP"
"Sanitation Project - Ijara","Construction of public toilets and waste management system","Ijara","Ijara",-1.2500,40.3333,"Health and Sanitation",Ongoing,2024-03-15,2024-11-30,6200000,2480000,"County Sanitation Fund"
"Bridge Construction - Tana River","Construction of bridge over Tana River connecting Garissa and Tana River counties","Bura West","Bura West",-0.8000,40.1000,"Roads Transport Housing & Public Works",Planning,2025-01-01,2026-06-30,120000000,0,"Kenya National Highways Authority"
"Pastoralist Support Program","Support program for pastoralist communities including water pans and livestock markets","Fafi","Dekaharia",-0.7500,40.0833,"Agriculture Livestock & Pastoral Economy",Ongoing,2024-02-01,2024-12-31,15000000,6000000,"FAO"
"Digital Government Services","Implementation of digital government services platform","Garissa Township","Central",-0.4569,39.6463,"County Affairs Public Service & Administration",Ongoing,2024-01-01,2024-09-30,8500000,3400000,"World Bank"
"Emergency Response Center","Construction of emergency response center for disaster management","Balambala","Saka",-0.5833,39.9167,"County Affairs Public Service & Administration",Planning,2024-09-01,2025-04-30,18000000,0,"UNDP"
"Solar Power Installation","Installation of solar power systems in rural health centers","Lagdera","Modogashe",-0.4167,39.7500,"Health and Sanitation",Ongoing,2024-04-01,2024-10-31,12500000,5000000,"Green Climate Fund"
"Youth Sports Complex","Construction of multi-purpose sports complex in Garissa Township","Garissa Township","Township",-0.4569,39.6463,"Culture Gender PWDs Social Services Youth & Sports",Planning,2024-10-01,2025-08-31,22000000,0,"Sports Kenya"
"Land Surveying Project","Comprehensive land surveying and titling program","Hulugho","Sangailu",-1.1667,40.2500,"Lands Physical Planning & Urban Development",Ongoing,2024-03-01,2024-12-31,16000000,6400000,"County Land Fund"
"Microfinance Support Program","Establishment of microfinance support program for women entrepreneurs","Dadaab","Dertu",0.3833,40.0667,"Trade Investment & Enterprise Development",Completed,2023-10-01,2024-03-31,6800000,6800000,"Women Enterprise Fund"
